MSA,"    Car, truck, or van:",    Public transportation (excluding taxicab):,    Bicycle,    Walked,"    Taxicab, motorcycle, or other means",    Worked from home,Median Household Income,Household Number,Employment Rate,Unemployment Rate,    Total population,Total housing units,        No vehicles available,        1 vehicle available,        2 vehicles available,        3 or more vehicles available,"        Agriculture, forestry, fishing and hunting, and mining",        Construction,        Manufacturing,        Wholesale trade,        Retail trade,"        Transportation and warehousing, and utilities",        Information,"        Finance and insurance, and real estate and rental and leasing","        Professional, scientific, and management, and administrative and waste management services","        Educational services, and health care and social assistance","        Arts, entertainment, and recreation, and accommodation and food services","        Other services, except public administration",        Public administration
"Sioux Falls, SD",90.9427128678391,0.4464565558070695,0.23541702942712867,2.2838237854779733,0.5272505659063207,5.5643391955423995,"67,713","104,530",0.721,0.026000000000000002,"264,437","111,182","4,235","31,855","40,558","27,882","2,848","10,346","15,244","4,814","18,141","5,636","2,529","15,833","11,969","36,226","11,953","6,706","4,168"
"South Bend-Mishawaka, IN-MI",88.38089033081587,1.1075949367088607,0.526539729815977,3.6478832039144775,0.81374321880651,5.523348579938305,"55,101","125,606",0.598,0.05,"322,494","143,456","8,374","43,812","48,625","24,795","1,009","7,995","28,690","4,774","16,085","7,299","2,180","7,155","11,344","42,773","12,378","7,545","4,021"
"Spartanburg, SC",93.27328840461044,0.33171673909848626,0.08117962391439748,1.061633529983974,0.8404890372516498,4.411692665141049,"53,757","118,788",0.583,0.054000000000000006,"313,791","131,725","6,272","35,260","45,045","32,211",729,"8,260","30,164","4,179","16,155","9,247","2,276","6,634","12,847","31,237","12,150","7,117","4,474"
"Spokane-Spokane Valley, WA",85.57042470615204,2.3373461596224834,0.40945056161124327,2.6875133387610566,1.0418066413197271,7.953458592533455,"59,656","224,385",0.5710000000000001,0.055,"558,635","241,918","15,990","64,487","83,105","60,803","3,840","17,401","19,107","8,735","29,905","13,291","4,130","17,318","24,449","69,690","24,181","11,885","12,235"
"Springfield, IL",89.35729869706176,1.0399037579267174,0.4985420957119262,1.4466896397039333,1.1816161327814367,6.475949676814224,"62,590","89,304",0.594,0.05,"208,224","97,689","6,815","33,050","32,929","16,510","1,659","4,690","5,238","2,258","10,254","4,524","1,375","7,470","8,927","27,720","8,193","4,875","12,129"
"Springfield, MA",85.28492557641793,2.1241730713104388,0.4584589940655706,4.156836754548108,1.024844342834906,6.950761260823038,"61,360","270,889",0.579,0.06,"698,537","291,991","30,601","100,005","94,672","45,611","2,674","16,828","34,805","8,180","36,483","16,477","5,301","19,710","26,756","111,073","27,861","14,333","15,334"
"Springfield, MO",91.04195259468081,0.6009124967543306,0.2791275640787863,1.8018101561630626,0.8670573834341037,5.4091398048889054,"50,496","191,961",0.588,0.039,"466,897","205,370","11,829","64,267","72,934","42,931","2,753","14,525","19,482","6,930","28,699","12,321","3,392","14,857","20,502","55,260","21,587","12,773","6,696"
"Springfield, OH",90.92372881355932,0.6254237288135592,0.3423728813559322,2.5271186440677966,0.43389830508474575,5.147457627118644,"51,504","54,862",0.5539999999999999,0.068,"134,409","61,283","4,153","17,784","19,809","13,116",786,"3,026","11,041","1,634","6,777","2,968",629,"2,693","4,707","14,523","5,321","2,628","3,056"
"State College, PA",77.08192684960883,5.09511139351098,1.8664866367499304,7.7968838939411995,0.9319195689871993,7.227671657201859,"61,921","59,380",0.5489999999999999,0.040999999999999995,"162,264","67,062","5,843","20,363","21,852","11,322",851,"3,241","5,658","1,124","7,203","2,408",865,"3,381","6,656","31,751","8,493","2,857","2,863"
"Staunton, VA",91.89076723016905,0.37624620719549196,0.18205461638491546,2.0164716081491116,0.693541395752059,4.840918942349372,"58,166","49,972",0.578,0.034,"122,714","54,639","2,529","14,638","17,562","15,243","1,112","3,767","7,749","1,613","7,992","2,942",940,"2,460","4,461","15,161","4,426","3,091","2,727"
"Stockton, CA",90.77369621595942,1.6289368957786259,0.2948095940022843,1.3178574566327277,0.8076351129289951,5.17706472469795,"68,628","231,092",0.56,0.07200000000000001,"751,615","245,192","12,841","60,692","83,565","73,994","14,472","27,114","30,223","9,655","37,996","27,176","4,015","14,579","30,877","65,614","25,917","15,573","16,597"
"Sumter, SC",93.54889812011547,0.27987044990494964,0.27635006688727737,1.7901147644863762,1.3043019080475955,2.800464690558333,"45,854","54,479",0.489,0.092,"140,540","66,291","4,962","16,656","19,065","13,796","1,041","3,858","8,348","1,125","5,842","3,225",789,"2,306","4,242","12,842","4,696","3,009","3,496"
"Syracuse, NY",86.71555539420662,2.017155058894195,0.2716162652928538,3.7699545546054307,1.197025752390256,6.028692974610645,"61,890","259,905",0.5820000000000001,0.057,"650,211","296,071","27,730","91,017","99,398","41,760","3,115","17,700","26,702","8,541","34,593","17,477","5,835","19,284","29,244","93,411","26,619","13,495","12,451"
"Tallahassee, FL",88.43365553602813,1.4251977152899824,0.5272407732864675,1.9782513181019332,1.000659050966608,6.634995606326889,"53,423","150,862",0.5820000000000001,0.059000000000000004,"384,783","172,558","9,754","54,561","57,308","29,239","1,750","9,813","5,890","2,368","20,214","6,412","2,128","9,625","23,163","48,605","18,834","9,150","27,962"
"Tampa-St. Petersburg-Clearwater, FL",85.60264907953845,1.1471362195014534,0.5805871796001058,1.3668606315511318,1.6270479168501717,9.67571897295869,"57,097","1,239,349",0.5660000000000001,0.054000000000000006,"3,152,928","1,436,297","79,007","504,910","472,934","182,498","10,825","103,526","84,696","37,788","179,549","71,604","26,417","142,265","212,710","326,783","151,992","69,708","52,679"
"Terre Haute, IN",91.10544196828279,0.6451375516661966,0.3642696822145634,3.2563501894938245,0.9983687586621368,3.6304318496804973,"50,418","73,479",0.545,0.055999999999999994,"186,580","83,871","5,011","23,819","25,995","18,654","1,912","4,092","14,813","1,729","9,599","4,038","1,030","2,711","4,403","21,697","7,608","4,079","5,097"
"Texarkana, TX-AR",95.22122101852788,0.35773345482771424,0.14680571023590158,0.774526678141136,1.0732003644831427,2.4265127737842125,"49,496","55,812",0.507,0.06,"149,482","66,121","3,900","19,456","20,395","12,061","1,142","3,691","7,011","1,598","7,495","3,207",702,"2,872","4,473","15,385","4,681","2,937","4,865"
"The Villages, FL",78.57987233036489,0.14185515013003389,1.737725589092915,1.3279218220505948,6.852391835448025,11.360233272913547,"59,618","59,076",0.215,0.047,"129,938","72,655","1,903","36,321","16,730","4,122",432,"2,036","1,317",317,"4,422","1,346",363,"1,699","2,741","5,110","3,500","1,795","1,036"
"Toledo, OH",91.16532124738235,1.0737748446115873,0.2868966070050867,2.4969022514202885,0.8376445755165977,4.139460474064079,"53,600","266,939",0.597,0.063,"643,724","303,804","21,073","95,105","99,392","51,369","2,303","17,143","52,697","8,716","35,233","16,720","4,149","13,753","26,849","78,132","30,987","12,819","9,205"
"Topeka, KS",91.1291273317554,0.8451904852590437,0.0997542418224193,1.8318506225571545,0.7934996508601535,5.300577667745826,"59,815","95,356",0.607,0.04,"232,248","105,347","5,992","29,737","35,572","24,055","1,642","7,924","11,901","2,441","10,807","6,855","1,684","8,465","8,627","28,070","8,214","5,126","9,833"
"Trenton-Princeton, NJ",79.10453748381107,6.709951748404029,0.3140365153407984,3.8847692290059714,1.2928218587752576,8.69388316466287,"83,306","131,440",0.6,0.06,"368,085","145,115","14,436","44,029","48,155","24,820",750,"8,598","13,413","5,272","16,341","10,242","3,750","15,148","26,876","47,766","12,550","7,158","11,325"
"Tucson, AZ",85.06597882524474,1.9665457593639992,1.3621578720909235,2.129737177100588,1.7222045109496535,7.753375855250104,"55,023","410,942",0.534,0.068,"1,038,476","463,236","31,233","153,811","150,211","75,687","4,359","28,223","30,669","7,927","53,516","21,611","7,173","26,053","59,147","115,236","49,040","22,118","26,923"
"Tulsa, OK",91.39361806151607,0.3754848382785932,0.15884225508197436,1.1859931986831955,1.3207157679729686,5.5653458784672045,"57,341","384,369",0.603,0.053,"996,141","433,870","21,175","124,033","149,657","89,504","11,472","34,126","56,388","13,579","52,490","29,547","9,774","28,563","45,683","100,133","44,746","25,434","17,034"
"Tuscaloosa, AL",93.15565770991809,0.6421131359565114,0.21799011291705428,1.0023896824093836,0.38125467447417866,4.600594684324777,"50,871","91,112",0.5479999999999999,0.064,"251,878","114,317","6,001","31,183","33,212","20,716","1,477","8,056","17,222","2,024","12,521","5,130","1,307","4,744","8,445","32,029","10,130","4,773","4,107"
"Twin Falls, ID",91.79407666189083,0.2845871523620734,0.07261879060273596,1.6643441738140567,0.7006731958155875,5.48370002551471,"53,944","39,762",0.629,0.034,"110,272","42,375","1,327","10,697","15,685","12,053","5,519","3,081","6,980","1,427","6,789","3,125",538,"2,317","3,451","10,878","3,551","2,271","1,881"
"Tyler, TX",91.42960169185939,0.5233459053299419,0.2972448810533189,0.8069467590562232,1.5203344735841884,5.422526289116939,"59,450","77,809",0.579,0.055,"230,184","91,122","2,978","23,626","33,116","18,089","3,117","8,097","8,034","2,570","12,814","4,881","2,228","4,839","8,927","29,296","9,618","5,773","3,996"
"Urban Honolulu, HI",78.55303800081774,7.115589362847693,0.9312973390926278,5.579080321106303,2.69693669768967,5.124058278445962,"87,722","316,928",0.585,0.042,"979,682","352,788","30,116","108,408","109,666","68,738","2,984","33,267","14,550","10,609","52,120","31,410","7,081","30,944","47,422","103,623","65,064","18,935","46,028"
"Utica-Rome, NY",88.59759507829978,1.0540952025851356,0.056705195128013926,3.750310713397962,0.8039709172259508,5.737322893363162,"58,983","115,768",0.557,0.048,"290,812","139,309","11,972","42,363","42,835","18,598","2,033","7,076","13,265","2,508","15,080","5,646","1,386","9,460","10,341","39,110","11,317","5,541","8,978"
"Valdosta, GA",92.0337364735837,0.30712921705919793,0.43284532145130494,2.8485041374920432,1.47040101845958,2.9073838319541694,"43,859","54,469",0.521,0.057,"146,462","62,572","4,684","17,870","20,411","11,504","1,384","3,678","5,222","1,561","9,178","2,972",989,"2,403","5,589","14,504","6,482","2,711","3,562"
"Vallejo, CA",88.51280616355417,2.7358731782152903,0.25182962423353583,1.1925724733818017,0.9262698822382925,6.380648678376905,"84,638","151,191",0.5870000000000001,0.059000000000000004,"444,538","159,055","7,147","39,294","54,702","50,048","2,840","17,492","17,504","4,711","23,454","13,859","4,029","11,930","19,925","49,263","19,589","9,778","15,062"
"Victoria, TX",91.09052669262093,0.8211393028146954,0.29086678301337987,1.7452006980802792,0.5906833131964022,5.461583210274309,"58,629","35,360",0.586,0.051,"99,622","41,044","2,268","11,494","14,172","7,426","2,490","3,814","4,566","1,616","5,819","2,003",597,"2,221","3,367","11,071","4,119","2,245","1,336"
"Vineland-Bridgeton, NJ",91.99367519042437,1.725720892274211,0.27543525571273125,1.497891730141458,1.6203073993471164,2.8869695321001085,"55,709","50,947",0.512,0.08,"150,085","56,411","5,151","16,835","17,570","11,391","2,215","4,037","7,200","2,590","7,092","3,975",547,"1,674","5,147","16,041","3,289","2,040","4,522"
"Virginia Beach-Norfolk-Newport News, VA-NC",87.8849554531836,1.532275322978498,0.34049311242017055,3.2830609463523426,1.517294977642116,5.441920187423268,"68,454","672,053",0.5760000000000001,0.055,"1,768,956","739,434","44,687","206,793","256,379","164,194","3,340","51,017","71,563","15,859","91,370","39,318","12,379","49,088","102,468","193,015","80,527","38,149","70,589"
"Visalia, CA",92.18719448494701,0.6256948285205111,0.24636733872995123,1.4178691739152296,1.2463617521689823,4.276512421718314,"52,534","139,044",0.546,0.099,"463,955","150,079","7,394","41,134","51,798","38,718","28,627","10,863","15,074","6,000","20,382","9,021","2,062","5,252","12,541","39,809","15,326","8,228","10,691"
"Waco, TX",91.86909638050656,0.5901529716626265,0.1504639304522277,1.9685697567499791,0.9044554041628353,4.51726155646577,"49,534","96,974",0.573,0.047,"271,326","110,079","6,072","32,323","36,761","21,818","1,723","9,115","13,830","3,358","15,318","7,127","1,381","7,137","9,337","30,885","10,607","6,129","5,652"
"Walla Walla, WA",81.5420200462606,1.002313030069391,1.0601387818041634,6.873554356206631,1.2297609868928296,8.292212798766384,"60,615","22,773",0.539,0.055,"60,785","24,871","1,620","5,960","8,673","6,520","1,813","1,516","2,076",483,"2,390","1,240",403,993,"1,842","8,232","2,583","1,133","1,859"
"Warner Robins, GA",93.98624625748504,0.2339071856287425,0.2689932634730539,0.858439371257485,1.0736339820359282,3.5787799401197606,"63,074","68,257",0.581,0.061,"182,819","75,710","3,656","20,563","26,624","17,414",664,"3,996","7,136","1,119","10,896","4,591","1,008","4,250","7,418","17,970","7,638","3,294","12,830"
"Washington-Arlington-Alexandria, DC-VA-MD-WV",72.31321091559045,11.959514357870205,0.827559446755271,3.1366822729054262,1.5599811893659064,10.203051817512748,"106,415","2,244,311",0.672,0.049,"6,250,309","2,381,231","221,047","739,893","802,841","480,530","10,623","217,647","95,739","38,158","262,364","133,799","84,469","203,746","714,177","652,209","282,012","214,945","429,397"
"Waterloo-Cedar Falls, IA",88.53557462207436,0.41907430105644083,0.3396953248117668,3.751823965446799,0.5813342672036421,6.372497519406993,"58,996","68,165",0.6409999999999999,0.048,"169,107","74,277","4,350","20,723","25,502","17,590","1,866","5,063","15,091","2,316","11,411","3,634",979,"5,213","6,696","22,038","7,571","3,490","2,006"
"Watertown-Fort Drum, NY",86.03377984857309,0.5629974762182101,0.036886041545331004,5.179576781207532,1.8773053775965831,6.309454474859251,"54,726","43,046",0.49200000000000005,0.057999999999999996,"111,454","60,119","3,885","15,398","17,382","6,381",818,"2,916","2,914",730,"6,204","1,580",785,"1,631","3,083","11,599","4,128","1,870","4,550"
"Wausau-Weston, WI",89.562515744395,0.37306718808104317,0.18713338051653614,2.1736261890766886,0.8061130237635402,6.897544474167197,"62,237","68,652",0.645,0.031,"163,172","76,857","3,591","18,716","28,743","17,602","2,838","4,602","17,417","2,951","9,276","3,608",874,"7,367","5,047","20,211","5,311","3,185","2,169"
"Weirton-Steubenville, WV-OH",89.36012352363191,0.6597284886402375,0.02205779141350338,3.984439230784656,0.994605867372516,4.979045098157172,"47,525","50,009",0.52,0.059000000000000004,"117,223","57,554","4,458","17,865","17,926","9,760","1,423","3,161","5,999",984,"6,761","3,765",637,"2,443","4,052","12,672","4,598","2,199","2,105"
"Wenatchee, WA",86.48476695993601,0.8325456264087835,0.5180687849923653,3.1102304951646915,3.177488547953174,5.876899585544972,"62,894","44,818",0.599,0.039,"119,173","55,427","2,080","12,189","15,895","14,654","7,577","3,852","2,565","2,354","6,614","2,919",589,"2,169","4,061","12,331","5,844","2,686","2,302"
"Wheeling, WV-OH",92.94012811675101,0.6372211106814398,0.12946180876641392,2.3773895791650554,0.2908687391764884,3.6249306454595898,"49,928","55,376",0.518,0.053,"140,199","68,834","4,854","19,675","19,969","10,878","3,130","3,945","4,523","1,424","8,228","3,544",608,"2,768","4,641","15,874","6,365","2,474","2,983"
"Wichita, KS",91.94531755418907,0.4391324520188984,0.3865280437041345,1.6362911604989903,1.0350979226159747,4.557632866972926,"58,333","247,011",0.624,0.05,"639,668","273,561","14,823","76,351","91,742","64,095","4,111","20,669","54,448","8,203","32,139","13,381","4,084","15,004","28,331","74,995","27,364","14,227","11,210"
"Wichita Falls, TX",85.8138349102034,0.42348875417823356,0.2067871508696391,7.226219477649992,1.6670443600929126,4.662625347005835,"51,099","56,210",0.544,0.044000000000000004,"151,352","65,512","3,436","19,984","21,306","11,484","2,334","4,287","5,522","1,289","8,717","4,009",940,"3,276","4,550","16,239","7,223","3,779","3,684"
"Williamsport, PA",90.1474801469033,1.0748553079393157,0.43840252273732383,3.1995692887495917,0.7422077797219605,4.397484953948507,"54,906","46,160",0.564,0.051,"114,014","53,533","4,215","13,990","17,358","10,597","1,192","3,640","7,271","1,209","6,196","2,936",487,"2,862","4,197","13,550","3,962","2,689","2,501"
"Wilmington, NC",87.28475873663125,0.4070536895947348,0.3076152663018207,1.570268626819759,0.5157921093107272,9.914511571341704,"57,488","120,810",0.583,0.055999999999999994,"293,339","142,686","6,993","40,066","49,534","24,217","1,178","9,942","9,425","3,081","18,092","5,123","3,691","10,108","17,725","32,401","18,148","7,789","5,242"
"Winchester, VA-WV",90.57542390875724,0.34125034125034126,0.09858343191676525,1.8033184699851366,0.6627839961173294,6.518639851973185,"69,417","51,928",0.595,0.043,"139,270","60,844","2,427","14,643","19,480","15,378",985,"6,500","7,605","1,509","7,540","3,538",940,"3,632","7,409","14,948","4,961","3,114","4,100"
"Winston-Salem, NC",91.13906611339817,0.5894605632185793,0.1269455970871398,1.3613029145003361,0.9276541306522773,5.855570681143495,"52,607","267,603",0.5720000000000001,0.05,"671,156","300,968","15,858","82,133","95,360","74,252","2,018","21,501","47,849","8,167","35,682","15,835","3,646","20,057","31,124","73,428","24,615","16,174","9,239"
"Worcester, MA-CT",85.95070899757738,1.7551290087587035,0.2007555864265506,2.841284496925136,1.4991021058159824,7.7530198044962475,"75,705","359,670",0.627,0.051,"943,312","386,373","31,943","115,622","138,550","73,555","2,587","31,222","59,194","11,524","55,436","21,374","8,750","29,588","52,199","135,238","36,367","21,256","18,038"
"Yakima, WA",92.85549377609327,0.25780633741847353,0.3039806068068569,1.3361679204263424,1.0610462319872251,4.18550512726783,"54,917","83,765",0.58,0.064,"250,649","89,354","4,418","21,171","29,168","29,008","16,535","5,822","9,584","4,712","11,194","7,808",958,"2,925","5,933","24,174","7,743","4,131","5,154"
"Yauco, PR",92.6948817042134,0.7399377886699972,0.11782448864171928,1.8333490432651522,2.3470638137430484,2.2669431614666795,"15,754","30,671",0.29600000000000004,0.21899999999999997,"88,203","43,971","4,180","14,321","8,817","3,353",518,"1,141","2,230",279,"2,424","1,107",98,480,"1,435","6,333","1,447","1,136","2,996"
"York-Hanover, PA",91.06035491199465,0.7687200495015966,0.23847484496876795,1.4019430279982115,0.7696233633082965,5.760883802228475,"68,940","174,425",0.627,0.046,"447,628","184,896","9,760","50,381","68,677","45,607","2,063","15,511","34,769","7,702","25,324","15,527","2,906","13,026","20,653","49,522","16,491","11,242","11,345"
"Youngstown-Warren-Boardman, OH-PA",91.12694578867296,0.97214223704455,0.07649925649599024,1.5759706380381808,1.4032026542663378,4.845239425481989,"48,020","231,607",0.535,0.064,"538,115","259,266","20,203","82,043","85,180","44,181","1,924","13,938","37,860","5,860","28,967","12,297","3,461","10,634","16,956","63,029","22,487","11,181","9,146"
"Yuba City, CA",90.79556358299938,0.8170119094654852,0.26528193260710053,1.2770220691990744,0.9891629508381781,5.855957554890783,"61,655","59,020",0.529,0.07400000000000001,"173,839","63,026","3,585","16,348","21,201","17,886","5,088","5,940","4,632","2,137","8,257","4,301",762,"3,060","5,963","15,148","6,370","3,223","5,095"
"Yuma, AZ",91.23785778644515,1.7724237524531283,0.30116392451153434,1.9649711795998468,1.219467038595885,3.5041163183944506,"48,790","74,624",0.479,0.086,"211,931","93,612","3,842","26,788","26,983","17,011","8,119","4,490","3,956","2,456","9,794","4,199",796,"3,002","6,387","16,498","8,310","3,351","7,365"
